Marca temporal,A quin centre educatiu estàs?,A quin curs vas?,Curs processat,Gènere?,El cervell...,El context...,Els automatismes del cervell...,El cervell humà...,Els anuncis publicitaris...,la informació que consumim i la manera en que parlem...,La discriminació...,Penses que el coneixement científic ajuda a combatre situacions de discriminació?,M'agraden les ciències,considero,Veig la utilitat de la ciència en els nostres problemes del dia a dia,T'ha agradat el taller?,"Si us plau, comenta si hi ha alguna cosa que t'ha agradat molt o alguna que no t'ha agradat gens",Mitjana,Bona nota
13/12/2022 12:57:29,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,és totalment diferent al cervell d'altres mamífers,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,9,M'ha agradat tot,"0,5714285714",Mala nota
13/12/2022 13:00:46,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,és totalment diferent al cervell d'altres mamífers,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,"No, no m'agraden",Si,10,"M’ha agradat molt que la xerrada ha estat participativa en tot moment, amb molts experiments i ha estat super interesant.","0,7142857143",Bona nota
13/12/2022 13:01:43,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,estan pensats per la supervivència,és totalment diferent al cervell d'altres mamífers,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,No,No,"No, no m'agraden",No,10,No,"0,2857142857",Mala nota
14/12/2022 10:35:16,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,són ràpids,no crea automatismes,exploten els nostres automatismes pel seu propi benefici,Només afecten als més dèbils i vulnerables,que tingui un origen evolutiu no justifica la seva existència,Si,Si,Si,Si,10,-,"0,2857142857",Mala nota
14/12/2022 10:36:38,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,M’ha agradat molt la reflexió de com esteriotips socials poden arribar a afectar respostes inconciebts i rápides al nostre cervell.,"0,8571428571",Bona nota
14/12/2022 10:37:05,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,que tingui un origen evolutiu no justifica la seva existència,Si,Si,Si,Si,10,Res,"0,7142857143",Bona nota
14/12/2022 10:37:28,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,poden generar situacions de discriminació,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,A vegades,9,Que ens mostrin com inconscientment podem discriminar a la resta.,"0,7142857143",Bona nota
14/12/2022 10:37:49,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,estan pensats per la supervivència,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Només afecten si estan a les xarxes socials,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",No,8,Crec que ha sigut una dinàmica entretinguda i suficientment interessant per no adormir-nos.,"0,4285714286",Mala nota
14/12/2022 12:58:09,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,interpreta la realitat tal com és,pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,fomenten l'esforç a llarg termini,No importen perquè succeeixen fora del cos,es pot manifestar de manera inconscient,Si,No,"No, no m'agraden",No,8,.,"0,2857142857",Mala nota
14/12/2022 12:58:26,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,9,.,"0,8571428571",Bona nota
14/12/2022 12:58:33,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,No,"No, no m'agraden",Si,10,Activitat molt dinamica molt be,"0,4285714286",Mala nota
14/12/2022 12:59:09,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,poden generar situacions de discriminació,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Només afecten si estan a les xarxes socials,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10,Molt xulo i interesant,"0,4285714286",Mala nota
14/12/2022 12:59:17,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,Com explicaven,"0,8571428571",Bona nota
14/12/2022 12:59:34,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,Magradat tots,"0,8571428571",Bona nota
14/12/2022 13:00:16,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,Ema experiments ,"0,7142857143",Bona nota
14/12/2022 13:00:44,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,totes les anterior són certes,pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per anar més ràpid,fomenten que es consumeixi informació variada,No importen perquè succeeixen fora del cos,que tingui un origen evolutiu no justifica la seva existència,Si,Si,Si,Si,9,💀💀💀💀,"0,2857142857",Mala nota
14/12/2022 13:01:03,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",Si,8,.,1,Bona nota
14/12/2022 13:01:34,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,poden generar situacions de discriminació,és totalment diferent al cervell d'altres mamífers,fomenten que es consumeixi informació variada,Només afecten als més dèbils i vulnerables,que tingui un origen evolutiu no justifica la seva existència,Si,No,Si,No,10,Ha estat molt be ,"0,1428571429",Mala nota
14/12/2022 13:01:44,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,9,les ganes dels explicants,"0,8571428571",Bona nota
14/12/2022 13:02:06,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,No,No,"No, no m'agraden",Si,10,el experiments eren super bons,"0,7142857143",Bona nota
14/12/2022 13:02:39,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,10,Esta todo muy bien,"0,5714285714",Mala nota
14/12/2022 13:05:47,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,10,La proba de velocidad ,"0,7142857143",Bona nota
14/12/2022 22:29:00,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,Molt ben explicat! Gràcies pel taller David i Dani,"0,7142857143",Bona nota
20/12/2022 10:32:36,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,9,.,"0,7142857143",Bona nota
20/12/2022 10:33:09,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,interpreta la realitat tal com és,pot ser determinat per la societat i la cultura,poden generar situacions de discriminació,crea automatismes per anar més ràpid,fomenten l'esforç a llarg termini,Només afecten als més dèbils i vulnerables,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,Si,Si,7,En general m’agradat bastant,"0,4285714286",Mala nota
20/12/2022 10:33:32,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per analitzar millor les coses,fomenten l'esforç a llarg termini,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,10,Res,"0,4285714286",Mala nota
20/12/2022 10:34:13,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,No,"No, no m'agraden",Si,10,M’ha agradat tot,"0,8571428571",Bona nota
20/12/2022 10:36:04,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Només afecten als més dèbils i vulnerables,totes les anteriors són certes,Si,Si,Si,Si,10,M’ha agradat molt els experiments amb l’ordinador,"0,5714285714",Mala nota
20/12/2022 10:37:07,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,interpreta la realitat tal com és,pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,No perque depen de la cultura tenim diferents pensaments ,No,"No, no m'agraden",Si,8,Sense rea de comentaris hahah ,"0,7142857143",Bona nota
20/12/2022 12:56:24,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,9,M’ha agradat que hem pogut connectar conceptes cientifics amb problemes d’avui en dia ,"0,8571428571",Bona nota
20/12/2022 12:56:39,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,totes les anterior són certes,pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Només afecten als més dèbils i vulnerables,totes les anteriors són certes,No,Si,"No, no m'agraden",Si,8,M’ha agradat les activtats i com ho explicaven,"0,2857142857",Mala nota
20/12/2022 12:56:56,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10,M'ha agradat que poguessim participar i ha fet la xerrada més dinàmica,"0,8571428571",Bona nota
20/12/2022 12:57:06,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,No importen perquè succeeixen fora del cos,es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,8,Lo de las pérleles que era la mateix a persona,"0,5714285714",Mala nota
20/12/2022 12:57:28,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,fomenten que es consumeixi informació variada,Només afecten als més dèbils i vulnerables,totes les anteriors són certes,No,Si,"No, no m'agraden",No,10,Molt,"0,5714285714",Mala nota
20/12/2022 12:57:59,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,9,"M'han agradat la varietat d'activitats i l'interacció. Tot i així, trobo que els canvis de llengua constants podrien haver-se eliminat.","0,5714285714",Mala nota
20/12/2022 12:57:59,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,"M’han agradat molt l’entusiasma amb la que parlaven els biòlegs, i tots els experiments. Tot això ha fet que aquesta xerrada fos molt divertida.","0,7142857143",Bona nota
20/12/2022 12:58:42,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,9,El test blanc\negre m’ha encantat,"0,7142857143",Bona nota
20/12/2022 12:58:46,Escola Pia Sarrià Calassanç,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per anar més ràpid,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,9,.,"0,7142857143",Bona nota
20/12/2022 12:58:55,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, no m'agraden",Si,9,m’ha agradat to en general pero sobretot l’experiment del punt.,"0,7142857143",Bona nota
20/12/2022 12:59:03,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,totes les anterior són certes,és irrellevant a l'hora d'analitzar una situació quotidiana,poden generar situacions de discriminació,crea automatismes per analitzar millor les coses,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,No,"No, no m'agraden",Si,7,Ninguna,"0,1428571429",Mala nota
20/12/2022 13:01:03,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,totes les anterior són certes,pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,7,Ha sigut entretingut,"0,7142857143",Bona nota
20/12/2022 16:59:29,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,8,.,"0,8571428571",Bona nota
20/12/2022 17:02:28,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",A vegades,7,"Res a afegir, gràcies.","0,4285714286",Mala nota
20/12/2022 17:03:59,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,M’ha semblat molt “mindblowing” i molt interessant.,1,Bona nota
20/12/2022 17:11:43,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,totes les anteriors són certes,No,Si,Si,Si,10,La manera de explicar ha estado muy bien. Se ha hecho muy divertido y ameno. Gracias.,"0,8571428571",Bona nota
21/12/2022 10:33:27,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",No importen perquè succeeixen fora del cos,que tingui un origen evolutiu no justifica la seva existència,Si,Si,"No, no m'agraden",Si,9,Tot està molt bé ,"0,2857142857",Mala nota
21/12/2022 10:34:04,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,10,M’ha agradat els experiments dels colors,"0,8571428571",Bona nota
21/12/2022 10:34:28,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,són ràpids,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,No,Si,Si,10,.,"0,5714285714",Mala nota
21/12/2022 10:42:07,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,No,"No, no m'agraden",Si,9,M’ha agradat tot bastant,1,Bona nota
21/12/2022 12:59:41,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,9,-,1,Bona nota
21/12/2022 13:00:03,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estan pensats per la supervivència,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, no m'agraden",Si,8,.,"0,5714285714",Mala nota
21/12/2022 13:03:07,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",és irrellevant a l'hora d'analitzar una situació quotidiana,són ràpids,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Només afecten si estan a les xarxes socials,es pot manifestar de manera inconscient,Si,Si,"No, no m'agraden",depen,10,m’ha agradat tot,"0,4285714286",Mala nota
21/12/2022 17:05:32,Escola Pia Sarrià Calassanç,3r ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,totes les anteriors són certes,No,Si,Si,Si,8,"Res, ha estar molt be ","0,7142857143",Bona nota
28/02/2023 10:26:10,Escola Pia Balaguer,4t ESO,3r-4t ESO,Masculí,interpreta la realitat tal com és,és irrellevant a l'hora d'analitzar una situació quotidiana,poden generar situacions de discriminació,crea automatismes per analitzar millor les coses,"actuen sobre el circuit de la serotonina, generant felicitat a llarg termini",Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,Tot,"0,2857142857",Mala nota
28/02/2023 10:27:08,Escola Pia Balaguer,4t ESO,3r-4t ESO,Masculí,és una màquina perfecta,és irrellevant a l'hora d'analitzar una situació quotidiana,són ràpids,crea automatismes per analitzar millor les coses,fomenten que es consumeixi informació variada,Només afecten si estan a les xarxes socials,totes les anteriors són certes,Si,No,Si,Si,10,"molt bona explicacio, bona feina","0,1428571429",Mala nota
28/02/2023 10:27:49,Escola Pia Balaguer,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,"M’ha agradat moltissim, ja que no era rollo ni res d’aixo. Era tipo taller i molt interessant. De les millors xarrades que he fet durant tota la ESO","0,8571428571",Bona nota
28/02/2023 10:28:19,Escola Pia Balaguer,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,Si,Si,Si,10,Mha agradat molt la manera en que heu realitzat el taller,1,Bona nota
28/02/2023 10:28:46,Escola Pia Balaguer,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,poden generar situacions de discriminació,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,10,M'agradat perque ha sigut molt divertit,"0,5714285714",Mala nota
28/02/2023 10:28:55,Escola Pia Balaguer,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,No,"No, no m'agraden",Si,10,"M’ha encantat tot, se m’ha passat rapidissim i he après moltes coses i a més m’ho he passat molt bé!","0,8571428571",Bona nota
28/02/2023 10:29:12,Escola Pia Balaguer,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,M'han agradat molt els experiments i que siguin tan didàctics.,"0,5714285714",Mala nota
28/02/2023 10:29:23,Escola Pia Balaguer,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,totes les anteriors són correctes,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,totes les anteriors són certes,Si,No,"No, no m'agraden",Si,10,"m’ha agradat moltíssim aquest taller, espero que ens en feu un altre, ja que ha estat súper interessant i ha sigut molt dinàmic","0,8571428571",Bona nota
28/02/2023 10:29:28,Escola Pia Balaguer,4t ESO,3r-4t ESO,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,poden generar situacions de discriminació,crea automatismes per analitzar millor les coses,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,Si,Si,Si,10,m ha agradat en especial la part de les imatges. Pero encara mes com ens han fet raonar de nosaltres mateixos de si eram racistes o no per que realment dona molt per pensar,"0,4285714286",Mala nota
28/02/2023 10:29:44,Escola Pia Balaguer,4t ESO,3r-4t ESO,Masculí,"completa i, per tant, inventa part de la realitat","és una cosa física, la cultura no hi té res a veure",totes les anteriors són correctes,crea automatismes per analitzar millor les coses,fomenten que es consumeixi informació variada,Condicionen la manera en la que veiem el món,es pot manifestar de manera inconscient,Si,No,"No, m'agradaria però són molt difícils o no em veig capaç",Si,9,Lo de la mosca m'ha semblat molt interessant ja que jo no sabia aquesta dada,"0,4285714286",Mala nota
